sale_id,date,customer_id,customer_name,customer_city,store_id,store_name,store_city,product_id,product_name,product_category,quantity,base_price,discount_pct,final_price,total_amount,payment_method,promotion_code,is_vip_customer,weekday,month,year,hour,is_returned,return_date,return_reason
a4b4ebe4-ee0b-422a-af1d-f41839422610,2023-01-01 10:07:00,b1070cfa,İlham Hacıyev,Quba,80aa0179,Quba  Mağaza 2,Quba,909ae86e,Geyim məhsulu 38,Geyim,2,184.36,0.0,184.36,368.72,Debit Kartı,,False,Sunday,January,2023,10,False,,nan
529f4ac8-e32a-43ef-ad57-9cf3f5580a97,2023-01-01 12:25:00,5dd22a96,Sevinc Quliyev,Quba,5914b874,Quba  Mağaza 3,Quba,23aac254,Ev Əşyaları məhsulu 60,Ev Əşyaları,3,261.8,0.0,261.8,785.4,Elektron pul kisəsi,,False,Sunday,January,2023,12,False,,nan
f4eedc42-550f-4591-a242-b9ccb11429ee,2023-01-01 12:43:00,c8a22c4d,Sevinc Qasımov,Şəki,14a17587,Şəki  Mağaza 1,Şəki,8e1e51b9,Qida məhsulu 116,Qida,3,25.05,0.0,25.05,75.15,Hissəli ödəniş,,False,Sunday,January,2023,12,False,,nan
5fa193ae-75f0-4590-a710-a79e06e755a3,2023-01-01 13:23:00,33036ab9,Rəşad Məmmədov,Lənkəran,84ba0a5f,Lənkəran  Mağaza 3,Lənkəran,bb28dbd2,Mətbəx məhsulu 54,Mətbəx,1,344.04,0.0,344.04,344.04,Nağd,,False,Sunday,January,2023,13,False,,nan
8313b95f-46c6-47a5-98e2-1a043612da5e,2023-01-01 13:27:00,5372e3bc,Orxan Səfərli,Şəki,83473150,Şəki  Mağaza 2,Şəki,3a820ba5,İdman məhsulu 95,İdman,1,78.35,0.0,78.35,78.35,Hissəli ödəniş,,False,Sunday,January,2023,13,True,2023-01-05 13:27:00,Müştəri fikir dəyişdi
64996e14-a1ee-4225-921a-bc8c11ff83bd,2023-01-01 14:15:00,efc48368,Nigar Quliyev,Naxçıvan,f1c2ff70,Naxçıvan  Mağaza 2,Naxçıvan,4a5dd9f8,Elektronika məhsulu 16,Elektronika,2,1850.81,0.0,1665.73,3331.46,Debit Kartı,,False,Sunday,January,2023,14,False,,nan
e62353db-d087-4ffa-99eb-bccec0a15fec,2023-01-01 14:20:00,eb13341a,Nigar Qasımov,Gəncə,eb075b95,Gəncə  Mağaza 1,Gəncə,cf003fac,Avto Aksessuarlar məhsulu 165,Avto Aksessuarlar,2,83.71,0.05,79.52,159.05,Kredit Kartı,,True,Sunday,January,2023,14,False,,nan
7aa186e5-bb84-428e-b7d6-220f97c37884,2023-01-01 15:25:00,17c76ad2,Leyla Nəcəfli,Şəki,07342e4d,Şəki  Mağaza 3,Şəki,bae4195d,Geyim məhsulu 33,Geyim,2,68.59,0.0,68.59,137.18,Elektron pul kisəsi,,False,Sunday,January,2023,15,False,,nan
50b54a5b-5e65-4de1-aec3-03b8e6669d2d,2023-01-01 15:33:00,5be6bd30,Əli Səfərli,Sumqayıt,b38017ab,Sumqayıt  Mağaza 1,Sumqayıt,75a2bebb,Kitablar məhsulu 139,Kitablar,3,216.7,0.0,216.7,650.1,Nağd,,False,Sunday,January,2023,15,True,2023-01-04 15:33:00,Yanlış məhsul göndərildi
64dc3adc-a8bf-49e9-8ad3-4d0312fe1bfd,2023-01-01 15:47:00,80f8ca7d,Orxan Rəhimov,Sumqayıt,eb075b95,Gəncə  Mağaza 1,Gəncə,8e6c5dc5,Avto Aksessuarlar məhsulu 167,Avto Aksessuarlar,1,258.29,0.0,258.29,258.29,Hissəli ödəniş,,False,Sunday,January,2023,15,False,,nan
172128da-58f7-4943-9d02-26a3c060c264,2023-01-01 16:03:00,775543c5,Rəşad Əhmədli,Naxçıvan,f1c2ff70,Naxçıvan  Mağaza 2,Naxçıvan,06c50aa5,Avto Aksessuarlar məhsulu 155,Avto Aksessuarlar,2,66.97,0.0,66.97,133.94,Debit Kartı,,False,Sunday,January,2023,16,False,,nan
aff266d3-74a6-40a4-ba67-28eeaeeb6ca5,2023-01-01 18:31:00,44c87ef4,Leyla Abbasov,Lənkəran,84ba0a5f,Lənkəran  Mağaza 3,Lənkəran,4ed66e33,Geyim məhsulu 22,Geyim,2,28.25,0.0,28.25,56.5,Elektron pul kisəsi,,False,Sunday,January,2023,18,False,,nan
f643200c-003f-467f-881c-47ac7cef6cb8,2023-01-01 19:07:00,b7a07948,Anar Nəcəfli,Gəncə,eb075b95,Gəncə  Mağaza 1,Gəncə,23aac254,Ev Əşyaları məhsulu 60,Ev Əşyaları,1,261.8,0.0,261.8,261.8,Debit Kartı,,False,Sunday,January,2023,19,False,,nan
423c6365-db7d-488a-8478-192f4cd6e65e,2023-01-01 19:40:00,a5cecb8f,Sevinc Qasımov,Quba,5914b874,Quba  Mağaza 3,Quba,bb28dbd2,Mətbəx məhsulu 54,Mətbəx,1,344.04,0.0,344.04,344.04,Elektron pul kisəsi,,False,Sunday,January,2023,19,False,,nan
c2c0c6ab-5784-4300-9f31-a9c315309850,2023-01-01 19:48:00,6393c1a3,İlham Qasımov,Mingəçevir,45cd2be3,Mingəçevir  Mağaza 3,Mingəçevir,cf003fac,Avto Aksessuarlar məhsulu 165,Avto Aksessuarlar,3,83.71,0.05,79.52,238.57,Hissəli ödəniş,,True,Sunday,January,2023,19,False,,nan
fb457ff6-80f8-4e6d-acd8-4a7c406de001,2023-01-01 19:59:00,952b480a,Günel Hüseynov,Bakı,f1c2ff70,Naxçıvan  Mağaza 2,Naxçıvan,32c1ce53,İdman məhsulu 96,İdman,2,163.2,0.0,163.2,326.4,Hissəli ödəniş,,False,Sunday,January,2023,19,False,,nan
4a4ac46b-824e-4e9e-934f-f9a171ae56ee,2023-01-01 20:56:00,eb7ddfb1,Aysel Səfərli,Gəncə,eb075b95,Gəncə  Mağaza 1,Gəncə,b3a11699,Elektronika məhsulu 5,Elektronika,1,186.41,0.05,159.38,159.38,Hissəli ödəniş,,True,Sunday,January,2023,20,False,,nan
c92bdd34-5bed-49ff-84f0-85ae9a804846,2023-01-02 10:22:00,1153e4f3,Nigar İsmayılova,Şəki,14a17587,Şəki  Mağaza 1,Şəki,457e846a,Qida məhsulu 117,Qida,3,124.11,0.0,124.11,372.33,Hissəli ödəniş,,False,Monday,January,2023,10,False,,nan
62ffd80f-bcb5-42a3-9158-e6064b1003e3,2023-01-02 11:13:00,ffb55f77,Rəşad Məmmədov,Şəki,14a17587,Şəki  Mağaza 1,Şəki,8388b2e6,Oyuncaqlar məhsulu 115,Oyuncaqlar,1,256.15,0.0,256.15,256.15,Debit Kartı,,False,Monday,January,2023,11,False,,nan
47ef1ea3-7ccf-4ae2-8d2e-7cad74dfe63e,2023-01-02 11:26:00,7f053b21,İlham Məmmədov,Naxçıvan,eb075b95,Gəncə  Mağaza 1,Gəncə,9308606c,İdman məhsulu 94,İdman,3,241.17,0.05,229.11,687.33,Hissəli ödəniş,,True,Monday,January,2023,11,False,,nan
cb362545-04c3-4d0b-904c-e7c1b1fcead4,2023-01-02 12:14:00,efd78e10,Farid Qasımov,Sumqayıt,b38017ab,Sumqayıt  Mağaza 1,Sumqayıt,2adef092,Kitablar məhsulu 146,Kitablar,2,192.95,0.0,192.95,385.9,Nağd,,False,Monday,January,2023,12,False,,nan
aa280ff5-90e2-4b59-a367-2b990d1b6fc2,2023-01-02 12:40:00,cffba051,Samir Əliyev,Naxçıvan,aefa7976,Naxçıvan  Mağaza 1,Naxçıvan,690f258b,Avto Aksessuarlar məhsulu 166,Avto Aksessuarlar,1,117.85,0.0,117.85,117.85,Hissəli ödəniş,,False,Monday,January,2023,12,False,,nan
82a0644d-966e-415a-b6b1-aa9680c602a7,2023-01-02 12:49:00,2bcc9b6c,Aysel Əhmədli,Lənkəran,4d27c1c4,Lənkəran  Mağaza 1,Lənkəran,ab67bf3a,Kosmetika məhsulu 71,Kosmetika,1,142.29,0.0,142.29,142.29,Kredit Kartı,,False,Monday,January,2023,12,False,,nan
4dbd367a-d353-4df7-8eda-0ba5e142b555,2023-01-02 13:04:00,323ff5ac,Aysel Hüseynov,Bakı,68c5b08f,Bakı (Mərkəz) Mağaza 1,Bakı,f28bf057,Qida məhsulu 134,Qida,2,202.02,0.0,202.02,404.04,Elektron pul kisəsi,,False,Monday,January,2023,13,False,,nan
b4915039-0a58-4746-bf19-cef7423d93f0,2023-01-02 13:06:00,c332632e,Elşən Hacıyev,Naxçıvan,aefa7976,Naxçıvan  Mağaza 1,Naxçıvan,9abb55a1,Geyim məhsulu 23,Geyim,1,159.15,0.0,159.15,159.15,Elektron pul kisəsi,,False,Monday,January,2023,13,False,,nan
f2fc8dfe-e969-45ba-9ccc-a3997578d453,2023-01-02 13:28:00,6124109c,Farid Əhmədli,Quba,80aa0179,Quba  Mağaza 2,Quba,09c984d0,Geyim məhsulu 31,Geyim,3,116.15,0.0,116.15,348.45,Hissəli ödəniş,,False,Monday,January,2023,13,False,,nan
db6ca098-5596-4cbc-b723-ea937d210e89,2023-01-02 14:22:00,e41e121e,Aysel Abbasov,Naxçıvan,f1c2ff70,Naxçıvan  Mağaza 2,Naxçıvan,007522a1,Geyim məhsulu 24,Geyim,2,173.96,0.05,165.26,330.52,Debit Kartı,,True,Monday,January,2023,14,False,,nan
972441fb-704e-4816-a2b6-c3b22e774628,2023-01-02 14:31:00,f18e70ae,Günel Səfərli,Şəki,14a17587,Şəki  Mağaza 1,Şəki,b8fd8497,Qida məhsulu 126,Qida,3,7.75,0.0,7.75,23.25,Elektron pul kisəsi,,False,Monday,January,2023,14,False,,nan
d706031a-fc88-49d3-98bf-5a30d7d051d0,2023-01-02 15:02:00,3fc2e1cc,Əli Səfərli,Mingəçevir,4d27c1c4,Lənkəran  Mağaza 1,Lənkəran,06b81419,Kosmetika məhsulu 75,Kosmetika,1,149.3,0.0,149.3,149.3,Nağd,,False,Monday,January,2023,15,False,,nan
2ed2b28f-379b-4d97-91b2-53e9798d2e3c,2023-01-02 15:40:00,246dfd19,Farid Nəcəfli,Quba,5914b874,Quba  Mağaza 3,Quba,e40ffaa0,Ev Əşyaları məhsulu 57,Ev Əşyaları,1,138.85,0.0,138.85,138.85,Kredit Kartı,,False,Monday,January,2023,15,False,,nan
d0b08988-2c15-4095-b1d1-a1a080c9ca52,2023-01-02 16:03:00,25da9cec,Aysel Hacıyev,Mingəçevir,de5282b4,Mingəçevir  Mağaza 1,Mingəçevir,e0d73c8c,Mətbəx məhsulu 52,Mətbəx,1,269.27,0.0,269.27,269.27,Kredit Kartı,,False,Monday,January,2023,16,False,,nan
de90b494-67c1-42a2-808a-6d4f29d34179,2023-01-02 16:32:00,5b510f46,Samir Səfərli,Sumqayıt,b38017ab,Sumqayıt  Mağaza 1,Sumqayıt,364d7fd1,Geyim məhsulu 28,Geyim,1,57.71,0.05,54.82,54.82,Hissəli ödəniş,,True,Monday,January,2023,16,False,,nan
c0de7718-00b9-4e6d-8a41-fea7d56cfc8f,2023-01-02 16:44:00,c4df6d0f,Nigar Rəhimov,Lənkəran,4d27c1c4,Lənkəran  Mağaza 1,Lənkəran,b9064e7c,Ev Əşyaları məhsulu 61,Ev Əşyaları,2,253.29,0.0,253.29,506.58,Nağd,,False,Monday,January,2023,16,False,,nan
05293a90-7849-4f6a-9378-3f9f09933076,2023-01-02 19:21:00,dd2e8c7e,Samir Quliyev,Naxçıvan,afaa7465,Naxçıvan  Mağaza 3,Naxçıvan,9e249ef9,Ev Əşyaları məhsulu 66,Ev Əşyaları,1,264.22,0.0,264.22,264.22,Kredit Kartı,,False,Monday,January,2023,19,False,,nan
539114de-4027-40fe-929c-a2fb523d746e,2023-01-02 19:41:00,d1c6f928,İlham İsmayılova,Gəncə,14a17587,Şəki  Mağaza 1,Şəki,2b116ad0,Oyuncaqlar məhsulu 109,Oyuncaqlar,3,69.22,0.0,69.22,207.66,Debit Kartı,,False,Monday,January,2023,19,False,,nan
6dedd0f6-7298-4894-bb70-551ff1c71621,2023-01-02 20:20:00,35b9fff3,İlham Hüseynov,Naxçıvan,afaa7465,Naxçıvan  Mağaza 3,Naxçıvan,ae4cd46f,Elektronika məhsulu 10,Elektronika,3,2300.54,0.0,2070.49,6211.46,Elektron pul kisəsi,,False,Monday,January,2023,20,False,,nan
6261c118-3b88-46ed-8e89-820cc86f6a45,2023-01-02 20:54:00,5a006115,Nigar Əliyev,Quba,a0c365d2,Quba  Mağaza 1,Quba,cf003fac,Avto Aksessuarlar məhsulu 165,Avto Aksessuarlar,2,83.71,0.0,83.71,167.42,Elektron pul kisəsi,,False,Monday,January,2023,20,False,,nan
